OBJECTID,YEAR_,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,FIRE_NUM
"30461","2003",2003/09/27,2003/09/27,"2",30.000000000000000,28.792535781860352,"00000060"
"30462","2003",2003/07/20,2003/07/20,"9",25.000000000000000,16.917400360107422,"00000017"
"30463","2003",2003/07/15,2003/07/16,"2",25.000000000000000,22.974523544311523,"00000018"
"30464","2003",2003/08/11,2003/08/13,"9",861.000000000000000,705.340393066406250,"00000025"
"30465","2003",2003/08/21,2003/08/21,"1",11.000000000000000,15.386532783508301,"00000026"
"30466","2003",2003/09/03,2003/09/19,"1",180.000000000000000,241.734313964843750,"00000031"
"30472","1954",,,"4",,7585.500000000000000,"00000026"
"30473","1960",1960/08/18,1960/08/28,"5",44812.000000000000000,43373.972656250000000,"00000072"
"30474","1968",,,"9",,49.313251495361328,"00000002"
"30478","1997",1997/10/29,1997/10/29,"2",100.000000000000000,29.624809265136719,"00000245"
"30479","1999",1999/09/14,1999/09/14,"9",30.000000000000000,55.046665191650391,"00000240"
"30480","1998",1998/07/24,1998/07/24,"1",50.000000000000000,31.429464340209961,"00000080"
"30481","1999",1999/09/23,1999/09/23,"4",210.000000000000000,144.674285888671875,"00000243"
"30482","1997",1997/05/15,1997/05/15,"7",60.000000000000000,54.139911651611328,"00000079"
"30483","2000",2000/07/20,2000/07/21,"7",10.000000000000000,39.288879394531250,"00000087"
"30484","1972",1972/09/25,1972/09/25,"5",90.000000000000000,248.943435668945312,"00000157"
"30485","1950",1950/07/03,,"14",,22844.712890625000000,"00000048"
"30486","1950",1950/10/06,,"14",,1034.798461914062500,"00000110"
"30487","1950",1950/07/05,,"14",,2830.094970703125000,"00000051"
"30488","1926",,,"14",,453.445495605468750,"00000007"
"30489","1926",,,"9",,428.484588623046875,"00000014"
"30490","1927",,,"14",,110.802764892578125,"00000002"
"30491","1950",1950/07/05,,"14",,5696.704101562500000,"00000052"
"30492","1950",,,"9",,2941.095214843750000,0000013B
"30493","1950",,,"9",,2507.514404296875000,0000013A
"30494","1950",1950/06/30,,"9",,581.678894042968750,"00000044"
"30495","1950",1950/10/13,,"14",,4309.065429687500000,"00000107"
"30496","1950",1950/05/30,,"14",,2294.044921875000000,"00000019"
"30497","1950",1950/09/23,,"14",,1247.556884765625000,"00000093"
"30498","1950",1950/07/08,,"14",,333.722442626953125,"00000341"
"30499","1950",1950/07/07,,"14",,433.427124023437500,"00000339"
"30502","1950",1950/07/30,,"14",,3669.497558593750000,"00000201"
"30503","1950",1950/07/31,,"14",,635.734619140625000,"00000205"
"30504","1950",1950/08/18,,"14",,2019.051269531250000,"00000228"
"30505","1950",1950/09/01,,"14",,529.909301757812500,"00000278"
"30506","1950",1950/09/05,,"14",,378.184936523437500,"00000288"
"30507","1950",1950/08/10,,"14",,359.175140380859375,"00000228"
"30508","1950",1950/08/03,,"14",,922.305969238281250,"00000215"
"30509","1950",1950/08/22,,"14",,309.273742675781250,"00000261"
"30510","1950",1950/08/22,,"14",,2659.494873046875000,"00000264"
"30511","1950",1950/08/21,,"14",,1273.426879882812500,"00000257"
"30512","1950",1950/09/02,,"14",,25291.767578125000000,"00000281"
"30513","1950",1950/08/20,,"14",,1727.120849609375000,"00000254"
"30514","1950",,,"14",,4827.514160156250000,"00000000"
"30515","1950",1950/09/03,,"14",,1741.033813476562500,"00000155"
"30521","1950",,,"14",,5165.256835937500000,"00000063"
"30522","1950",,,"14",,1330.095214843750000,0000063A
"30523","1950",1950/09/03,,"14",,7242.522460937500000,"00000070"
"30524","1950",,,"14",,444.884857177734375,"00000016"
"30525","1950",1950/08/18,,"14",,384.191741943359375,"00000426"
"30526","1950",,,"14",,2274.122802734375000,"00000000"
"30527","1950",1950/09/03,,"14",,8955.978515625000000,"00000225"
"30528","1951",1951/07/28,,"9",,1504.068359375000000,"00000008"
"30529","1951",1951/08/26,,"14",,315.948486328125000,"00000248"
"30530","1951",1951/08/13,,"14",,659.422424316406250,"00000118"
"30531","1951",1951/08/05,,"14",,473.851684570312500,"00000218"
"30532","1951",1951/08/04,,"14",,1366.192626953125227,"00000216"
"30534","1951",,,"9",,4178.785156250000000,"00000017"
"30535","1951",1951/10/10,,"14",,35.319999694824219,"00000000"
"30536","1951",1951/11/16,,"14",,3287.811279296875000,"00000000"
"30537","1951",1951/11/17,,"14",,564.554504394531250,"00000000"
"30538","1951",1951/07/29,,"14",,1023.469177246093750,"00000000"
"30539","1951",1951/08/06,,"14",,2348.252685546875000,"00000000"
"30540","1951",,,"9",,523.071899414062500,"00000021"
"30541","1951",1951/08/19,,"14",,803.611083984375000,"00000005"
"30542","1951",1951/07/15,,"14",,5239.654785156250000,"00000075"
"30549","1951",,,"14",,1008.556091308593750,"00000058"
"30550","1951",,,"14",,370.299652099609318,0000073A
"30551","1951",1951/09/14,,"14",,1703.904785156250000,"00000073"
"30552","1951",1951/08/06,,"14",,115.345870971679673,"00000000"
"30553","1951",1951/07/04,,"14",,165.487854003906250,"00000000"
"30554","1951",1951/08/06,,"3",,3212.858886718750000,"00000000"
"30555","1951",1951/10/07,,"14",,199.893661499023438,"00000231"
"30556","1951",,,"1",,30.291852951049805,"00000019"
